timestamp;value;datetime
1760277600000;88.0;2025-10-12 14:00:00
1760281200000;105.55;2025-10-12 15:00:00
1760284800000;108.9;2025-10-12 16:00:00
1760288400000;116.64;2025-10-12 17:00:00
1760292000000;115.53;2025-10-12 18:00:00
1760295600000;110.45;2025-10-12 19:00:00
1760299200000;107.79;2025-10-12 20:00:00
1760302800000;93.45;2025-10-12 21:00:00
1760306400000;93.45;2025-10-12 22:00:00
1760310000000;90.26;2025-10-12 23:00:00
1760313600000;90.83;2025-10-13 00:00:00
1760317200000;89.12;2025-10-13 01:00:00
1760320800000;93.45;2025-10-13 02:00:00
1760324400000;98.1;2025-10-13 03:00:00
1760328000000;131.41;2025-10-13 04:00:00
1760331600000;218.64;2025-10-13 05:00:00
1760335200000;199.56;2025-10-13 06:00:00
1760338800000;150.19;2025-10-13 07:00:00
1760342400000;125.1;2025-10-13 08:00:00
1760346000000;110.0;2025-10-13 09:00:00
1760349600000;95.1;2025-10-13 10:00:00
1760353200000;89.86;2025-10-13 11:00:00
1760356800000;92.1;2025-10-13 12:00:00
1760360400000;101.84;2025-10-13 13:00:00
1760364000000;117.9;2025-10-13 14:00:00
1760367600000;180.6;2025-10-13 15:00:00
1760371200000;305.74;2025-10-13 16:00:00
1760374800000;306.58;2025-10-13 17:00:00
1760378400000;186.95;2025-10-13 18:00:00
1760382000000;137.18;2025-10-13 19:00:00
1760385600000;121.99;2025-10-13 20:00:00
1760389200000;111.28;2025-10-13 21:00:00
1760392800000;109.18;2025-10-13 22:00:00
1760396400000;103.01;2025-10-13 23:00:00
1760400000000;99.52;2025-10-14 00:00:00
1760403600000;98.87;2025-10-14 01:00:00
1760407200000;100.05;2025-10-14 02:00:00
1760410800000;101.45;2025-10-14 03:00:00
1760414400000;123.29;2025-10-14 04:00:00
1760418000000;160.2;2025-10-14 05:00:00
1760421600000;190.82;2025-10-14 06:00:00
1760425200000;156.45;2025-10-14 07:00:00
1760428800000;134.73;2025-10-14 08:00:00
1760432400000;119.85;2025-10-14 09:00:00
1760436000000;107.65;2025-10-14 10:00:00
1760439600000;103.0;2025-10-14 11:00:00
1760443200000;105.27;2025-10-14 12:00:00
1760446800000;122.28;2025-10-14 13:00:00
1760450400000;146.6;2025-10-14 14:00:00
1760454000000;219.2;2025-10-14 15:00:00
1760457600000;404.96;2025-10-14 16:00:00
1760461200000;407.21;2025-10-14 17:00:00
1760464800000;225.48;2025-10-14 18:00:00
1760468400000;163.04;2025-10-14 19:00:00
1760472000000;129.86;2025-10-14 20:00:00
1760475600000;115.36;2025-10-14 21:00:00
1760479200000;115.46;2025-10-14 22:00:00
1760482800000;111.87;2025-10-14 23:00:00
1760486400000;107.68;2025-10-15 00:00:00
1760490000000;103.62;2025-10-15 01:00:00
1760493600000;106.48;2025-10-15 02:00:00
1760497200000;114.4;2025-10-15 03:00:00
1760500800000;151.96;2025-10-15 04:00:00
1760504400000;278.74;2025-10-15 05:00:00
1760508000000;276.2;2025-10-15 06:00:00
1760511600000;181.05;2025-10-15 07:00:00
1760515200000;142.36;2025-10-15 08:00:00
1760518800000;126.1;2025-10-15 09:00:00
1760522400000;119.43;2025-10-15 10:00:00
1760526000000;112.88;2025-10-15 11:00:00
1760529600000;115.39;2025-10-15 12:00:00
1760533200000;122.64;2025-10-15 13:00:00
1760536800000;135.69;2025-10-15 14:00:00
1760540400000;170.0;2025-10-15 15:00:00
1760544000000;221.88;2025-10-15 16:00:00
1760547600000;220.0;2025-10-15 17:00:00
1760551200000;152.85;2025-10-15 18:00:00
1760554800000;124.34;2025-10-15 19:00:00
1760558400000;98.21;2025-10-15 20:00:00
1760562000000;88.17;2025-10-15 21:00:00
1760565600000;88.16;2025-10-15 22:00:00
1760569200000;85.81;2025-10-15 23:00:00
1760572800000;88.0;2025-10-16 00:00:00
1760576400000;86.66;2025-10-16 01:00:00
1760580000000;88.34;2025-10-16 02:00:00
1760583600000;85.05;2025-10-16 03:00:00
1760587200000;96.19;2025-10-16 04:00:00
1760590800000;116.12;2025-10-16 05:00:00
1760594400000;132.77;2025-10-16 06:00:00
1760598000000;119.93;2025-10-16 07:00:00
1760601600000;92.24;2025-10-16 08:00:00
1760605200000;88.31;2025-10-16 09:00:00
1760608800000;83.4;2025-10-16 10:00:00
1760612400000;81.48;2025-10-16 11:00:00
1760616000000;82.98;2025-10-16 12:00:00
